id;Area;MajorAxisLength;MinorAxisLength;Eccentricity;ConvexArea;EquivDiameter;Extent;Perimeter;Roundness;AspectRation
23;3910;9258932307;5511140291;0.803559698;4067;705575412;0.622809812;252523;0.770521464;1680039305
24;3505;880017938;5227703901;0.804431698;3586;6680347749;0.59477346;229044;0.839576062;1683373724
25;2647;7678904267;4552911212;0.805267574;2710;5805398414;0.59819209;200587;0.82671961;1686592141
26;3606;8877990424;525886165;0.805682077;3658;677591455;0.593092105;227906;0.872416898;1688196232
27;4136;9574362731;5641101106;0.807995866;4217;7256802848;0.765925926;247294;0.84989101;1697250688
28;3951;9412263105;5539145755;0.808494981;4045;7092650732;0.606912442;247032;0.81359911;1699226473
29;3867;9247994738;5437937746;0.808851743;3960;7016849236;0.781212121;240315;0.841438302;1700643731
30;3177;8454078476;4952659704;0.810433374;3247;6360095938;0.81712963;219663;0.827395697;1706977459
31;3987;9417620603;5494802805;0.812142038;4043;712489022;0.594364937;240915;0.863233761;1713914209
32;4038;952470937;5521937217;0.814795388;4126;7170314694;0.63610586;244287;0.850306436;1724885488
33;3426;8892210563;5148838799;0.815307665;3548;6604633737;0.563208943;23294;0.793430846;1727032232
34;3938;9426939767;5430216853;0.817427302;4009;7080972622;0.841452992;238395;0.870745605;1736015342
35;3636;9140038634;5230281469;0.820087291;3723;680404217;0.75529705;235385;0.824662357;1747523281
36;2965;8257014058;4715593922;0.820879385;3068;6144229203;0.607581967;21444;0.810257323;175100193
37;3335;8797830505;5023674047;0.820941139;3459;651632863;0.625;229787;0.793697097;1751274152
38;3277;873845036;4964746533;0.822925332;3408;6459416373;0.630192308;227562;0.795219134;1760099997
39;3446;8940212268;5079059698;0.822949871;3533;6623883658;0.808350927;229852;0.819650226;1760210118
40;3697;9187618278;5209462225;0.823711598;3772;6860879387;0.849885058;231291;0.868444056;1763640445
41;2953;8287781414;4699201881;0.823715315;3043;6131783081;0.692217534;214338;0.807746273;1763657239
42;3670;9221294021;5185164606;0.826931032;3772;6835780226;0.736947791;235534;0.831320927;1778399476
43;3415;8949579817;5031824228;0.826973165;3534;6594022327;0.687399356;232838;0.791576426;1778595478
44;3860;9463650283;5313975738;0.827466978;3942;7010495448;0.815722739;242845;0.822505549;1780898286
45;3271;8741286344;4906935374;0.827577394;3391;6453500252;0.671387521;226793;0.799155176;1781414606
46;3657;9243690606;5186429927;0.827763047;3725;6823662517;0.632152118;234047;0.838935683;1782283909
47;3494;9007527599;5052519208;0.827868744;3580;6669856797;0.725498339;227934;0.84511253;1782779486
48;3899;9537622831;5332667827;0.829087297;3977;7045822156;0.6421278;24044;0.847519424;1788527458
49;2522;7709079003;4287187941;0.831100711;2579;5666665803;0.598765432;197015;0.816500322;1798166796
50;3812;9500364795;5278100382;0.831470984;3903;6966770518;0.596557121;244123;0.803795109;1799959097
51;3210;8798665592;4880975228;0.832023494;3351;6393042264;0.613884108;226454;0.786601742;1802645
52;5425;1135134456;6296183004;0.832074376;5591;8311031543;0.560897436;292569;0.796439869;1802893047
53;3293;8811593906;4884442145;0.832303678;3358;6475166269;0.576505602;222373;0.836830469;1804012341
54;4935;1086173366;6015695607;0.832621093;5193;7926813454;0.601829268;290143;0.736669733;1805565702
55;3869;9660035011;5342470023;0.833148913;4005;7018663547;0.727255639;248428;0.787784638;1808158955
56;3900;9517012555;5251306281;0.833989075;3980;704672564;0.782818145;236767;0.874242929;1812313365
57;4571;1038253162;5717941587;0.834685363;4658;7628878003;0.717582418;261064;0.842805012;1815781338
58;3746;939988852;5171568655;0.835050434;3847;6906196735;0.635345997;23934;0.821763909;1817608766
59;4607;1054041588;5771611459;0.836760131;4727;7658860609;0.590641026;26884;0.801014362;1826251811
60;3466;9105330784;4975342248;0.837510773;3539;6643077797;0.849509804;228007;0.83780329;1830091344
61;4294;10145421;5534456288;0.838102538;4375;7394112932;0.596388889;254699;0.831797143;1833137796
62;3992;9747084902;5315412282;0.838219144;4057;7129356396;0.584908425;24328;0.847593431;1833740148
63;4404;1028634748;5596797915;0.839020612;4535;7488222055;0.613541376;260512;0.815458208;1837898676
64;4399;1024485604;5573154196;0.839088221;4496;7483970041;0.755841924;257268;0.835203461;1838250957
65;4042;9837593738;5345686204;0.839478002;4144;7173865234;0.749351131;24961;0.815233866;1840286422
66;3733;9453973823;5136464535;0.839530377;3802;6894202797;0.61907131;234817;0.850763371;1840560518
67;3871;9633549432;5231804963;0.839679822;3964;702047739;0.593256705;240094;0.843860039;184134338
68;4126;9949226615;5387480874;0.84070239;4265;7248024808;0.622886473;253076;0.80953786;1846730754
69;3886;9777562771;5284771577;0.841344086;4032;70340663;0.733069232;251165;0.774095281;1850139146
70;3931;9708081574;5243244079;0.841606851;4003;7074676424;0.577578607;242064;0.843048377;1851541036
71;3850;9640313032;520250802;0.841881949;3942;7001408606;0.671550672;241481;0.829668616;1853012623
72;4676;1068064769;5761952234;0.842001029;4814;7716001627;0.666096866;274007;0.782638217;1853650857
73;3764;9623547918;5191358009;0.842021957;3864;6922769422;0.55762963;245108;0.787307713;18537631
74;3668;9400787826;5070506339;0.84206865;3764;6833917361;0.677377655;239356;0.804545396;1854013623
75;4425;1042664186;5620161967;0.842293366;4560;7506054213;0.774684874;26682;0.781063565;1855220886
76;4483;1043280876;5611813541;0.843008304;4598;7555086286;0.58785733;269116;0.777856643;1859079722
77;4196;1007501023;5405545555;0.843881227;4280;7309249708;0.820332356;249882;0.844452833;1863828568
78;4409;1036999129;5528355112;0.846045387;4519;7492471657;0.600108888;263424;0.798434479;1875782413
79;4702;1068208342;5688935479;0.846387239;4779;7737423563;0.646323024;265151;0.840438522;1877694599
80;4893;1089832503;5802999061;0.846450727;4979;7893010257;0.625223614;268932;0.850158921;1878050455
81;4108;1013157423;5387284326;0.846912546;4253;7232197487;0.589467642;256915;0.782098362;1880645909
82;3797;9614211158;5105518917;0.84734752;3872;6953050087;0.711581709;237412;0.846535408;1883101662
83;3663;9400143053;4988557273;0.847566309;3738;6829257978;0.753703704;230804;0.864092271;1884341011
84;3502;935356072;4958314468;0.847935673;3653;6677488215;0.645054338;240546;0.760553426;1886439592
85;3866;982198269;5202727997;0.848183557;4003;7015941904;0.774439103;247889;0.790600715;188785243
86;4181;1011105249;5353444948;0.848331996;4281;7296173337;0.642242704;25105;0.833622792;188870019
87;3730;9597894614;5081390793;0.848355093;3787;6891432001;0.568597561;236813;0.835810103;1888832212
88;3810;9732531129;5131237346;0.849725489;3917;6964942689;0.575181159;243983;0.804295624;1896722072
89;4623;1068561506;5629384365;0.849977534;4720;7672148601;0.789177194;264644;0.829487132;1898185373
90;4472;1062162594;5586103791;0.850535305;4642;7545811583;0.775312067;274486;0.74588395;1901437269
91;3951;1000223281;5247633057;0.851320389;4085;7092650732;0.563784247;253792;0.770834311;1906046537
92;4621;107515859;5639083506;0.851417512;4798;7670488861;0.658262108;277531;0.753915777;190661938
93;4709;107830578;5655003031;0.851451051;4801;7743180881;0.824404762;265248;0.841074214;1906817334
94;4581;1065972033;5587488082;0.851614663;4685;7637218312;0.565625386;266221;0.812242173;1907783994
95;3243;9113033539;4769255121;0.852121255;3431;642581967;0.66509434;234302;0.742343348;1910787598
96;4357;1041688036;5450369237;0.852194755;4432;7448157286;0.53796765;260732;0.805394671;1911224709
97;4566;1073323015;5611190573;0.852463494;4735;7624704428;0.553790176;272888;0.770507543;191282581
98;3554;9459943367;4934837868;0.85315581;3659;6726881404;0.81308625;235807;0.803181878;1916971463
99;4686;1080411686;5632774126;0.853340239;4795;7724247864;0.566147155;271738;0.797464573;1918080969
100;3972;9993602686;520746236;0.853508093;4153;7111474862;0.611076923;253449;0.777030274;191909264
101;4019;9988402006;5199738757;0.853814335;4107;7153425564;0.829514964;252331;0.793207209;1920943046
102;4754;1090975949;5664723153;0.854631832;4863;7780090485;0.66694725;271228;0.812082213;192591221
103;4608;1072664178;5561545032;0.855089993;4698;7659691784;0.745631068;264951;0.824880825;1928716161
104;3878;9886216016;5120220775;0.855432012;3952;7026822151;0.824404762;24449;0.815258748;1930818309
105;4404;1055612967;5466500185;0.855470952;4534;7488222055;0.594331984;268492;0.767705186;1931058138
106;3609;9546121147;4931615584;0.856221212;3684;6778732564;0.699147617;235956;0.814581787;1935698552
107;4493;1061024587;5473130459;0.85668828;4635;7563507966;0.671298371;265167;0.802984814;1938606424
108;4626;1081493814;557786501;0.856735754;4781;7674637538;0.589449541;272761;0.781359586;193890281
109;4355;1048104398;5384724626;0.857934894;4432;7446447621;0.577279958;2571;0.827930478;1946440108
110;3448;9376361246;4816081418;0.858005337;3554;6625805574;0.563398693;236521;0.774529044;194688595
111;4459;1063932719;5455141565;0.858547702;4566;7534835851;0.590361446;263639;0.806172585;1950330173
112;4105;1018422762;5214737228;0.858961293;4241;7229556232;0.838439543;254662;0.795416754;1952970432
113;3992;1015810398;5187325399;0.859783443;4141;7129356396;0.791435369;25706;0.759156632;1958254629
114;4083;101986251;5207642841;0.859805283;4204;7210157461;0.552129817;253493;0.798467606;1958395654
115;5037;113664381;5790922261;0.860485135;5176;8008312923;0.724227175;284386;0.782646035;1962802744
116;3536;9569548849;4862133126;0.861307617;3621;6709824908;0.715789474;237568;0.787310851;196817911
117;5011;1138714491;5772255233;0.86199911;5179;7987617516;0.556221556;283977;0.780850572;1972737596
118;3829;9979394795;5057754473;0.862052047;4031;6982287746;0.723544974;254977;0.740104792;1973088027
119;4388;1064473886;538901512;0.862380367;4470;7474607095;0.575399948;263299;0.795386222;1975266097
120;4684;1104464398;558747349;0.862592766;4791;7722599321;0.568446602;274318;0.78220059;1976679441
121;4319;1053373586;5328323892;0.86263072;4394;7415606242;0.795103093;256647;0.823987615;1976932348
122;5784;1221912997;6175362721;0.862894078;5917;8581618453;0.752341311;301985;0.797016671;1978690245
123;4126;1035232905;5231378371;0.862924147;4258;7248024808;0.742754275;255796;0.792412996;1978891282
124;3803;9947215247;5026503783;0.862933391;3911;6958541506;0.542742971;246555;0.786155688;1978953101
125;3982;1005093206;506631383;0.863666257;4058;7120421243;0.606919677;243849;0.841529145;1983874746
126;4408;1069605737;5391266267;0.863678918;4499;7491621929;0.808214155;26428;0.793090693;1983960139
127;3495;9635268965;4855849663;0.863723389;3656;6670811202;0.713993871;240603;0.758673593;1984260147
128;4371;1060365044;5338323965;0.864028969;4460;7460113974;0.623715753;256509;0.834805795;1986325767
129;4039;1022953523;514952914;0.86405457;4137;7171202494;0.553591009;251807;0.800475639;1986499144
130;5472;1188225877;5981104559;0.864074307;5649;8346955606;0.606921029;295612;0.786886027;1986632846
131;2985;8954280748;4487519946;0.865355119;3078;6164916902;0.80762987;225237;0.739391972;1995374027
132;4733;1105368768;5538850592;0.865397365;4819;7762887842;0.606794872;266682;0.836293963;1995664532
133;3772;9960332963;4989166435;0.865503093;3896;6930122339;0.64379587;250098;0.757811359;1996392202
134;3661;9769259544;4890235887;0.865693836;3732;6827393334;0.596448355;238547;0.80846584;1997707221
135;4837;112173828;5614063497;0.865748729;4938;7847712837;0.788298566;275362;0.801637337;19980862
136;3141;9076577027;453742466;0.866080346;3194;6323958736;0.543896104;223117;0.792889153;2000380768
137;4194;1046666913;5230336252;0.86619073;4285;7307507544;0.547805643;256711;0.799740948;2001146508
138;4199;1039579819;5193962023;0.866243946;4292;7311862176;0.714115646;254771;0.812934875;2001516019
139;3957;102320702;5107711152;0.866494578;4109;7098034149;0.603661327;253068;0.776428464;2003259365
140;4994;1142651167;5698886817;0.866750215;5144;7974056864;0.709879176;285254;0.771249536;2005042746
141;3937;1024749007;5107067636;0.866962983;4133;7080073508;0.662794613;256524;0.751829344;2006531105
142;4245;1056187899;5260182365;0.867157094;4365;735180377;0.562698834;260959;0.783326826;2007892171
143;5273;1172504881;5837701343;0.867244265;5367;8193773318;0.570670996;286773;0.805732935;2008504397
144;3641;9821898138;4883939057;0.867607294;3726;6808718809;0.554945892;241542;0.784233206;2011060749
145;4715;1106894983;5503698356;0.867624752;4832;7748112321;0.79430593;269449;0.816090663;2011183955
146;4896;1130982598;5619223391;0.867839657;5066;7895429571;0.599265606;289962;0.731760731;201270268
147;4236;1056451601;5248729068;0.867850021;4326;7344006203;0.535051156;260888;0.782091577;2012776022
148;4535;1097356066;5449081793;0.867999767;4698;7598777096;0.664468865;274329;0.757257729;2013836657
149;4976;1141212737;566442029;0.868121957;5093;7959673344;0.680339076;277133;0.814167476;2014703498
150;4234;1056400951;524323366;0.868134;4329;7342272286;0.677006716;259741;0.788641635;2014789001
151;4296;10625667;5268167884;0.868438765;4390;7395834695;0.850693069;259409;0.80223953;2016956794
152;4649;1107022218;5483454494;0.868702764;4768;769369264;0.576942169;273621;0.780316084;2018840896
153;3791;9993450497;4944130516;0.869042704;3886;6947554328;0.643851902;243201;0.805439521;2021275625
154;4955;1149422326;5680713383;0.869334971;5185;7942859651;0.592561588;290011;0.740328692;2023376728
155;4996;1157543147;5707943418;0.869967831;5170;7975653431;0.592223803;289043;0.751462618;2027951335
156;5166;1164812077;5740544291;0.870125573;5285;8110212998;0.623762376;286844;0.788992229;2029096926
157;4889;1134990733;5591833049;0.870212519;4971;7889783352;0.870238519;274262;0.81676783;2029729291
158;4379;1072441145;5281908582;0.870305271;4495;746693777;0.643970588;263678;0.791474665;2030404595
159;6374;1295767591;6376230696;0.870549219;6476;9008678515;0.662233766;314656;0.809002546;2032184299
160;4881;1138160966;5596674868;0.87074793;4965;7883325579;0.852725367;275478;0.808248354;2033637817
161;4840;1130192872;5541384666;0.871551294;4962;7850146111;0.68945869;274396;0.807792234;2039549572
162;4324;1074234632;5261238315;0.871853802;4399;7419897433;0.542670683;261978;0.791709588;2041790482
163;4098;1043378697;5101698501;0.872306528;4223;7223389547;0.6271809;252837;0.805564948;2045159464
164;4398;1080842945;5278024542;0.872661936;4496;7483119348;0.597554348;26129;0.809504955;2047817202
165;4438;1083345087;5288819805;0.872735442;4524;751707197;0.563770325;261474;0.815718178;2048368308
166;4342;1079361607;5265198942;0.872951636;4461;7435325214;0.557381258;266484;0.768347011;2049992068
167;4076;1041744438;508078401;0.873000757;4182;720397417;0.617575758;255914;0.782088589;2050361589
168;3673;9921752118;4833770705;0.873296434;3760;683857357;0.797092014;24124;0.793107675;205259056
169;5086;1173431374;5706786443;0.873773432;5276;8047171133;0.592773893;299803;0.711073136;2056203409
170;4582;1102029953;5356818644;0.873910711;4674;7638051842;0.633222775;26951;0.79271154;2057247083
171;4444;1093320256;5309012652;0.874188772;4539;7522151645;0.741655541;265364;0.793048786;2059366454
172;4515;1098055701;5323867944;0.874600106;4629;7582002733;0.577291906;266923;0.79633467;2062514909
173;3320;1049579846;5087502689;0.874670474;4375;6501657703;0.409927152;488837;0.174590178;2063055118
174;3821;1005480488;4873552413;0.874681096;3898;6974989821;0.820661512;240926;0.82721721;2063136708
175;4117;1055405362;5114681966;0.874726022;4264;7240115473;0.784190476;262743;0.749425424;2063481892
176;4080;104272109;5051191604;0.874833328;4159;7207508129;0.756957328;250412;0.817635526;2064307142
177;5358;1192490531;5770866139;0.875104544;5447;8259550521;0.600134409;287087;0.816931269;2066397837
178;4429;1093909238;5290751618;0.875258481;4600;7509446014;0.691491023;276786;0.726486094;2067587589
179;4814;1135868234;5492957964;0.875294022;4913;7829032615;0.803002502;275818;0.795189689;20678626
180;4575;111231913;5376839227;0.875405122;4671;763221522;0.545747346;270638;0.784916415;2068723061
181;4173;1059127833;5119004627;0.875442302;4293;7289189681;0.735849057;257666;0.7898489;2069011284
182;4837;1147953243;5547569683;0.875478285;4963;7847712837;0.589303119;282031;0.764173999;2069290354
183;5056;1163895145;5620142521;0.875690057;5197;8023402731;0.726436782;283873;0.788440191;2070935285
184;4771;114015075;5504964734;0.875715319;4887;7793988625;0.579075131;279955;0.764967217;2071131797
185;4158;1070147691;5166774487;0.875725418;4314;7276077258;0.6875;265778;0.739701145;2071210372
186;3832;1019698018;4922548543;0.875760566;3908;6985022502;0.782040816;24769;0.78490739;2071483926
187;6946;1363036028;6573847541;0.876009151;7115;9404212821;0.594437313;338782;0.760508352;2073422024
188;4188;1065811347;5136513446;0.876207201;4302;7302278558;0.587542088;261405;0.770173828;2074970421
189;5672;1230789249;5931319017;0.876219713;5786;8498126086;0.655116655;296222;0.812290673;2075068371
190;4952;1157148758;556734017;0.876651614;5051;7940454789;0.661148198;279019;0.799324168;2078458874
191;4213;1071803967;5156715505;0.876652071;4339;7324041372;0.636020531;26424;0.758235653;2078462475
192;3467;9797380616;4713315533;0.876677165;3598;6644036049;0.614716312;240017;0.756274922;2078660032
193;3860;1021971523;4912511552;0.87689078;3948;7010495448;0.614747571;245889;0.802267072;2080344263
194;5077;1174265099;563920177;0.877141276;5196;804004799;0.54241453;28861;0.765939166;208232503
195;3744;1004167531;4812622906;0.877670279;3846;690435287;0.72;242167;0.802261185;2086528594
196;4374;1090780728;5225358497;0.877788945;4502;7462673629;0.736859838;26859;0.761919282;2087475392
197;4562;1117569232;5344922494;0.878216546;4695;7621363922;0.546216475;278618;0.738493716;2090898855
198;4375;1092448278;5217637903;0.878572174;4455;7463526652;0.546601699;261724;0.802603082;2093760238
199;4298;1080691562;5153272243;0.87898496;4386;7397556058;0.598940914;259272;0.803461442;2097097749
200;3206;9352974726;4455523434;0.879242202;3283;6389057818;0.592387288;226049;0.788439188;2099186519
201;4515;1109722142;5284775827;0.879323385;4690;7582002733;0.594078947;271783;0.768109333;2099847143
202;3503;9837247663;4683791704;0.879375842;3592;6678441529;0.514692918;240295;0.762360758;2100274369
203;4819;1146402584;5457328405;0.879423933;4919;7833097322;0.565079737;276798;0.790389013;2100666294
204;5206;1196187778;5690043992;0.879617592;5316;8141550878;0.83030303;287436;0.791829553;2102246978
205;4139;1069162059;5079355129;0.879943617;4290;725943419;0.614003857;263;0.751958363;2104916927
206;4108;1063301589;5051491056;0.879944748;4244;7232197487;0.616446579;261701;0.753753835;2104926204
207;4107;1062923105;5049647509;0.879947057;4184;7231317176;0.536582179;256199;0.786284485;2104945153
208;5786;1255554308;5962625047;0.880039868;5945;8583102007;0.623491379;307304;0.769931108;2105707298
209;5116;1182361891;5614671184;0.880056444;5248;8070869539;0.588045977;288913;0.77020482;2105843517
210;5276;1207283328;5729556014;0.880210999;5434;8196103854;0.577875137;292865;0.773000377;2107114975
211;4275;1086018895;5152527338;0.880286885;4388;7377736139;0.768332135;263752;0.772243853;2107740189
212;3716;100698893;4773887538;0.880484211;3786;687848686;0.635430917;239364;0.815019317;2109368773
213;5197;1190035819;5638621395;0.880622003;5393;8134510381;0.753516022;289902;0.777070027;2110508466
214;4043;1065010619;5038129497;0.881030704;4174;7174752595;0.548426479;262446;0.737621708;2113900842
215;3709;1007357227;4764940038;0.881054947;3788;6872005145;0.772708333;240529;0.805622906;211410263
216;5278;1200379792;5665960303;0.881591069;5388;8197657176;0.792016807;289009;0.794065843;2118581367
217;4506;1110079213;5232413559;0.881943587;4599;757444215;0.581869835;264923;0.806792259;2121543339
218;4148;1069693936;5040674957;0.882012553;4232;72673225;0.813333333;255109;0.800934592;2122124407
219;5896;1270139951;5984329211;0.882050377;6092;8664306294;0.610351967;309264;0.774655487;2122443312
220;4203;1072992964;5052718252;0.882186875;4281;7315344016;0.668947955;255102;0.811599045;2123595479
221;3910;1043388145;4910437226;0.882333753;4075;705575412;0.6109375;259808;0.72791653;2124837558
222;4846;1164064279;5473755333;0.882545011;5006;7855010397;0.628942245;289067;0.72877966;2126628263
223;3302;9629743756;4524113928;0.882769548;3423;6484008773;0.537609899;233736;0.759513885;2128536971
224;4449;1112556534;5219604698;0.883116313;4558;7526382089;0.709569378;269177;0.77160738;2131495771
225;4347;1093557051;5128416875;0.883215923;4420;743960503;0.570247934;260209;0.806779542;2132348203
226;4381;1104948924;5178753009;0.883364255;4477;7468642745;0.738039084;267193;0.771139527;2133619661
227;4170;1076272465;5044282234;0.883367603;4280;7286569084;0.626502404;260354;0.77306749;2133648387
228;6082;129098407;6041631466;0.883735602;6204;8799910744;0.661374511;308106;0.805111386;2136813669
229;5361;1220585037;5694218191;0.884513032;5510;8261862501;0.609204546;293758;0.780685775;2143551574
230;4506;1117058775;519735486;0.885168084;4593;757444215;0.772633745;263959;0.812695963;2149283251
231;5623;1252441841;581835187;0.885541309;5786;8461339114;0.5659219;303047;0.769410253;21525715
232;4390;1106219338;5136922513;0.885642633;4557;7476310321;0.739555256;276911;0.719438986;2153467052
233;4542;1130268924;5240467224;0.886019582;4719;7604639381;0.609255533;283196;0.711676727;2156809452
234;5642;1258670623;5821205006;0.886625358;5759;8475622403;0.639972777;301902;0.777877063;2162216624
235;4466;1117161753;5164579845;0.886726332;4551;7540747845;0.576853526;264342;0.803149216;2163122241
236;4707;1158966117;5348524695;0.887144874;4834;774153637;0.833097345;28135;0.747240192;2166889345
237;4925;1182847646;5453488492;0.887375502;5035;7918778162;0.877896613;280448;0.78688525;2168974314
238;2656;8656781638;3990651744;0.887407612;2721;5815259436;0.695652174;207697;0.773708713;2169265121
239;3215;9603513343;4411935531;0.888225108;3294;6398019331;0.843168109;230728;0.758909935;2176712075
240;5188;1210072161;5557226815;0.888308327;5350;8127463785;0.561471862;295728;0.74546102;2177474846
241;5366;1231519679;564790283;0.888636372;5587;8265714365;0.628263669;299083;0.753836351;2180490204
242;3735;1023709892;4694326548;0.888663325;3821;6896049376;0.654803647;242407;0.798748686;218073856
243;6063;1312915779;6017811905;0.888769328;6203;8786154654;0.789453125;313372;0.77584873;2181716211
244;5443;1236655012;5666273543;0.888852444;5545;8324808011;0.674975198;29154;0.804733164;2182483784
245;4118;1078182786;493411712;0.889141328;4217;7240994714;0.693733154;255689;0.791538634;2185158479
246;4886;1174406074;5363079347;0.889639703;4985;7887362307;0.578498698;281305;0.775904773;2189798059
247;5083;1200834497;5482157996;0.889708521;5179;8044797453;0.534827441;286377;0.778849783;2190441243
248;4432;1123670498;5129491408;0.889726353;4550;7511988859;0.601193706;270823;0.759343932;2190608013
249;5020;1198737416;5471854525;0.889739752;5104;7994787373;0.528421053;285799;0.772310913;2190733345
250;4035;1073117282;4893080224;0.889995749;4150;7167650635;0.58469787;258503;0.758791099;2193132409
251;5781;1282888753;5847084588;0.890095088;5954;8579392641;0.674090485;316756;0.724040956;2194065664
252;4176;1093482943;498376875;0.890097511;4277;7291809336;0.596230725;260346;0.774227397;2194088445
253;4555;1144279914;5215120679;0.890104916;4706;7615514511;0.776641091;279606;0.732158776;2194158073
254;4141;1087011905;4945734894;0.890499394;4236;7261187888;0.633180428;260478;0.7669605;219787742
255;5273;1227478685;5575784788;0.890875797;5431;8193773318;0.66984248;30273;0.72303066;2201445593
256;5371;1239435304;5623539815;0.891145369;5531;8269564435;0.734144341;297114;0.764572695;2204012677
257;6332;1352490597;6131214783;0.891343917;6528;8978949157;0.579747299;328799;0.736020303;2205909669
258;5595;1262920083;5723821435;0.891398089;5745;8440245999;0.621045621;303285;0.764377848;2206428166
259;4664;1158597799;5249343954;0.891471219;4826;7706094495;0.712169797;28298;0.73190872;2207128755
260;5762;1284823393;5816517707;0.891658061;5932;8565282399;0.659871736;312678;0.740608116;2208922
261;4249;1104531344;4999383017;0.891701055;4325;7355266702;0.833791209;261568;0.780418169;2209335313
262;4544;1154135356;5222960782;0.891742494;4763;760631349;0.73814165;282086;0.717604447;2209733911
263;4204;1113236714;5030696932;0.892069502;4355;7316214216;0.50263032;273607;0.705696824;2212887655
264;5258;1231084563;5562897901;0.892083959;5429;8182110685;0.65235732;297503;0.746530828;2213027428
265;3379;9901478925;4463155114;0.892646995;3491;655917405;0.653578337;237593;0.752195573;2218493122
266;5580;1271054624;5726437529;0.89276307;5773;8428924403;0.669867947;311868;0.720945495;2219625409
267;5753;1279285827;5761755431;0.892832715;5889;855859048;0.639222222;310522;0.749755204;2220305672
268;5471;1258384269;566555965;0.892915178;5769;8346192874;0.566356108;322299;0.661848613;2221112029
269;4881;1199345923;5399067461;0.892944052;5112;7883325579;0.508225739;299044;0.685880547;2221394586
270;5576;1266443526;5698484397;0.893048905;5689;8425902742;0.569851814;302164;0.76744487;2222421679
271;5349;1244496928;5595378028;0.893225157;5464;8252610693;0.670300752;298048;0.756676137;2224151651
272;4417;113719943;5108260448;0.89343297;4601;749926601;0.528855364;281478;0.700564861;2226197042
273;4802;1180428891;5301542506;0.893471435;4923;7819268696;0.823670669;279034;0.775028673;2226576302
274;5008;1201405384;537163328;0.894477747;5109;7985226133;0.82517713;285494;0.772111842;2236573722
275;5350;1248235842;5573978445;0.894759429;5474;8253382073;0.604519774;294808;0.77354417;2239398401
276;5254;1236906866;5522951728;0.894777074;5425;8178997841;0.689863445;302928;0.719483929;2239575732
277;4460;1133293145;5034002156;0.895931416;4552;7535680705;0.564199874;267759;0.78172962;2251276639
278;5526;1275101183;5660794623;0.896052223;5626;8388040131;0.526988365;302131;0.760729343;2252512709
279;3882;1061158346;4702590414;0.896444345;3973;7030445158;0.803726708;249213;0.785459883;2256540017
280;4954;1206979911;5345390584;0.896584255;5084;7942058111;0.827183169;284145;0.771055838;2257982635
281;6083;1336271788;5912347743;0.896792686;6219;8800634154;0.673792645;317226;0.75960905;2260137337
282;4999;1215526062;5370860038;0.897086591;5293;7978047684;0.595119048;318791;0.61813153;2263187001
283;3662;103894842;4588286667;0.897198277;3773;6828325719;0.796086957;251355;0.728371839;2264349408
284;4812;1188853189;5245069063;0.897415056;4957;7827406141;0.580878803;283809;0.750728936;2266611124
285;4657;1177277342;5192222212;0.897489191;4788;7700309448;0.564553279;284222;0.724437161;2267386283
